t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)
0,000	40,300	42,300	8,260E+1	0,000E+0	1,769E+2	1,767E+2	0,000E+0	3,728E-1	3,678E-1	0,000E+0
0,000	40,200	42,000	8,220E+1	0,000E+0	1,772E+2	1,768E+2	0,000E+0	3,704E-1	3,652E-1	0,000E+0
0,000	38,300	39,800	7,810E+1	0,000E+0	1,767E+2	1,764E+2	0,000E+0	3,534E-1	3,488E-1	0,000E+0
0,000	37,200	38,200	7,540E+1	0,000E+0	1,766E+2	1,762E+2	0,000E+0	3,414E-1	3,357E-1	0,000E+0
0,000	35,500	36,600	7,210E+1	0,000E+0	1,760E+2	1,759E+2	0,000E+0	3,267E-1	3,234E-1	0,000E+0
0,000	35,500	36,600	7,210E+1	0,000E+0	1,760E+2	1,759E+2	0,000E+0	3,267E-1	3,234E-1	0,000E+0
0,000	34,700	35,600	7,030E+1	0,000E+0	1,758E+2	1,758E+2	0,000E+0	3,187E-1	3,161E-1	0,000E+0
0,000	33,100	33,700	6,680E+1	0,000E+0	1,755E+2	1,753E+2	0,000E+0	3,034E-1	3,017E-1	0,000E+0
0,000	32,700	32,900	6,560E+1	0,000E+0	1,755E+2	1,754E+2	0,000E+0	2,994E-1	2,955E-1	0,000E+0
0,000	29,500	29,300	5,880E+1	0,000E+0	1,747E+2	1,746E+2	0,000E+0	2,696E-1	2,669E-1	0,000E+0
0,000	27,900	27,300	5,520E+1	0,000E+0	1,744E+2	1,742E+2	0,000E+0	2,548E-1	2,516E-1	0,000E+0
0,000	27,200	26,600	5,380E+1	0,000E+0	1,743E+2	1,739E+2	0,000E+0	2,490E-1	2,464E-1	0,000E+0
0,000	26,100	25,400	5,150E+1	0,000E+0	1,739E+2	1,737E+2	0,000E+0	2,391E-1	2,371E-1	0,000E+0
0,000	25,400	24,400	4,980E+1	0,000E+0	1,741E+2	1,735E+2	0,000E+0	2,319E-1	2,288E-1	0,000E+0
0,000	24,900	23,800	4,870E+1	0,000E+0	1,736E+2	1,734E+2	0,000E+0	2,276E-1	2,243E-1	0,000E+0
0,000	24,100	23,000	4,710E+1	0,000E+0	1,736E+2	1,734E+2	0,000E+0	2,208E-1	2,183E-1	0,000E+0
0,000	24,100	23,000	4,710E+1	0,000E+0	1,736E+2	1,734E+2	0,000E+0	2,208E-1	2,183E-1	0,000E+0
0,000	13,400	12,400	2,580E+1	0,000E+0	1,696E+2	1,692E+2	0,000E+0	1,354E-1	1,331E-1	0,000E+0
0,000	0,300	0,100	4,000E-1	0,000E+0	1,137E+2	1,138E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,100	0,200	3,000E-1	0,000E+0	8,947E+1	8,926E+1	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,200	0,200	4,000E-1	0,000E+0	7,073E+1	7,067E+1	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,100	0,200	3,000E-1	0,000E+0	5,427E+1	5,424E+1	0,000E+0	0,000E+0	0,000E+0	0,000E+0
