Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
625	1,2207	625	307,617	625	-2,44141
626	2,44141	626	308,838	626	-1,2207
627	0	627	307,617	627	-2,44141
628	1,2207	628	307,617	628	1,2207
629	1,2207	629	307,617	629	-1,2207
630	0	630	307,617	630	-1,2207
631	1,2207	631	308,838	631	-1,2207
632	0	632	310,059	632	-1,2207
633	0	633	307,617	633	-2,44141
634	-1,2207	634	307,617	634	-1,2207
635	2,44141	635	308,838	635	-3,66211
636	0	636	307,617	636	-3,66211
637	1,2207	637	307,617	637	-2,44141
638	0	638	307,617	638	-3,66211
639	0	639	307,617	639	-3,66211
640	1,2207	640	307,617	640	-2,44141
641	-1,2207	641	308,838	641	-1,2207
642	1,2207	642	308,838	642	-1,2207
643	0	643	308,838	643	-1,2207
644	-1,2207	644	306,396	644	-1,2207
645	1,2207	645	307,617	645	0
646	2,44141	646	307,617	646	0
647	1,2207	647	307,617	647	-2,44141
648	1,2207	648	307,617	648	-2,44141
649	0	649	307,617	649	-1,2207
650	1,2207	650	307,617	650	-1,2207
651	1,2207	651	308,838	651	-1,2207
652	1,2207	652	307,617	652	-3,66211
653	1,2207	653	307,617	653	-2,44141
654	0	654	307,617	654	-2,44141
655	1,2207	655	308,838	655	-2,44141
656	2,44141	656	308,838	656	-3,66211
657	3,66211	657	307,617	657	0
658	1,2207	658	307,617	658	-1,2207
659	-2,44141	659	307,617	659	-2,44141
660	1,2207	660	308,838	660	-1,2207
661	1,2207	661	308,838	661	-1,2207
662	0	662	308,838	662	-1,2207
